@relation 'XXXXXXL2 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
1000,'\'(-inf-30.4]\'',mezczyzna,12,1800,0,6,0,dobry
300,'\'(67.6-inf)\'',kobieta,13,1167.94,0,370,48,dobry
721.94,'\'(55.2-67.6]\'',kobieta,12,1680,1,67,0,dobry
500,'\'(-inf-30.4]\'',kobieta,12,1447,1,17,6,dobry
400,'\'(55.2-67.6]\'',kobieta,13,930,1,128,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1420.41,1,20,48,zly
250,'\'(55.2-67.6]\'',kobieta,13,810,1,29,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,1087,0,237,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1320,0,343,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1015,1,106,48,dobry
700,'\'(42.8-55.2]\'',mezczyzna,11,3200,0,188,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,544.63,0,65,48,zly
500,'\'(55.2-67.6]\'',kobieta,16,1340,0,159,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1360,1,117,48,dobry
1000,'\'(42.8-55.2]\'',mezczyzna,11,4000,1,6,48,dobry
408.77,'\'(30.4-42.8]\'',kobieta,11,2050,1,25,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,2000,1,31,24,dobry
200,'\'(42.8-55.2]\'',kobieta,17,432.87,0,143,5,dobry
300,'\'(55.2-67.6]\'',mezczyzna,11,3000,1,211,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1000,1,8,17,dobry
449.7,'\'(-inf-30.4]\'',mezczyzna,99,980,1,7,0,dobry
200,'\'(55.2-67.6]\'',kobieta,13,665.92,1,123,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,1667,0,154,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,13,3900,1,26,48,dobry
200,'\'(42.8-55.2]\'',kobieta,16,685,0,37,48,dobry
200,'\'(67.6-inf)\'',kobieta,16,959.6,0,113,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1031,0,119,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1800,0,48,48,dobry
432.44,'\'(67.6-inf)\'',kobieta,13,1072,1,151,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,985,1,9,2,dobry
200,'\'(-inf-30.4]\'',mezczyzna,11,1136.8,0,5,48,dobry
200,'\'(30.4-42.8]\'',kobieta,99,2800,1,6,0,dobry
200,'\'(42.8-55.2]\'',kobieta,11,770,1,100,48,zly
300,'\'(-inf-30.4]\'',mezczyzna,99,750,0,0,5,dobry
800,'\'(55.2-67.6]\'',kobieta,11,2670,1,85,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,16,1313.41,0,23,48,dobry
700,'\'(67.6-inf)\'',kobieta,13,2291,1,67,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1454.91,0,38,48,dobry
700,'\'(30.4-42.8]\'',mezczyzna,11,2258,1,72,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1362,1,53,48,dobry
662.69,'\'(-inf-30.4]\'',mezczyzna,11,2837,1,124,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,714,1,221,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,1,247,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,15,482.94,0,149,48,zly
400,'\'(55.2-67.6]\'',mezczyzna,13,1261.6,0,50,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1442.43,1,139,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,16,588,1,424,48,dobry
200,'\'(-inf-30.4]\'',kobieta,12,1600,0,0,2,zly
352.42,'\'(55.2-67.6]\'',kobieta,13,1668,1,88,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,980,0,198,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1000,1,39,23,dobry
300,'\'(-inf-30.4]\'',mezczyzna,17,926,1,52,2,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1240,1,67,48,dobry
520.7,'\'(-inf-30.4]\'',mezczyzna,17,926,1,52,2,dobry
888.47,'\'(67.6-inf)\'',kobieta,13,1377.23,1,257,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,12,1000,1,2,1,zly
400,'\'(-inf-30.4]\'',mezczyzna,11,1888.27,0,74,48,dobry
400,'\'(-inf-30.4]\'',mezczyzna,11,1110,0,6,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,865,1,125,48,dobry
500,'\'(42.8-55.2]\'',kobieta,16,1045.6,1,8,48,dobry
400,'\'(-inf-30.4]\'',mezczyzna,12,900,1,14,6,dobry
673.09,'\'(55.2-67.6]\'',kobieta,13,930,1,91,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,1600,0,45,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,3250,0,1,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1250,0,64,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,802.83,0,200,48,dobry
250,'\'(55.2-67.6]\'',kobieta,13,634.64,0,8,48,dobry
900,'\'(55.2-67.6]\'',kobieta,13,1370,0,73,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1400,1,21,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,17,749.74,1,109,27,dobry
900,'\'(30.4-42.8]\'',kobieta,11,2200,0,33,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,670,1,63,48,dobry
281.29,'\'(42.8-55.2]\'',kobieta,11,1700,1,204,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,98,450,0,1,48,zly
500,'\'(55.2-67.6]\'',mezczyzna,11,2250.05,1,174,48,dobry
300,'\'(30.4-42.8]\'',kobieta,99,645.31,0,6,5,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1187.06,0,131,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1090.14,0,72,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,785,0,61,48,dobry
700,'\'(67.6-inf)\'',mezczyzna,13,2802,1,247,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1577.42,1,204,48,dobry
626.61,'\'(30.4-42.8]\'',mezczyzna,12,3000,1,3,6,dobry
200,'\'(42.8-55.2]\'',mezczyzna,12,1210,0,3,6,dobry
1000,'\'(30.4-42.8]\'',mezczyzna,11,3600,0,49,48,zly
300,'\'(55.2-67.6]\'',mezczyzna,99,611.36,0,8,4,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,2700,1,11,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,600,1,5,22,dobry
200,'\'(-inf-30.4]\'',kobieta,17,1200,1,163,18,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1077.49,0,373,48,dobry
400,'\'(67.6-inf)\'',kobieta,13,1291.18,1,76,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,1033,0,32,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,1800,1,50,48,dobry
800,'\'(42.8-55.2]\'',mezczyzna,11,980,0,110,48,zly
575.74,'\'(30.4-42.8]\'',mezczyzna,11,2050,1,115,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,2400,0,110,48,dobry
400,'\'(42.8-55.2]\'',kobieta,12,1700,1,51,2,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1408.27,0,73,48,zly
200,'\'(55.2-67.6]\'',kobieta,16,1389,0,88,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,16,763.38,0,210,48,dobry
285.97,'\'(67.6-inf)\'',kobieta,13,1017,1,159,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,658,0,90,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,729.03,1,257,48,dobry
600,'\'(55.2-67.6]\'',mezczyzna,11,2031,1,112,48,dobry
400,'\'(42.8-55.2]\'',kobieta,17,990,1,69,17,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,2080,1,319,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1250,0,11,0,zly
200,'\'(30.4-42.8]\'',mezczyzna,12,1017,0,54,6,dobry
200,'\'(55.2-67.6]\'',kobieta,13,910,1,66,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1400,0,20,48,dobry
800,'\'(42.8-55.2]\'',kobieta,98,3000,0,7,48,zly
500,'\'(30.4-42.8]\'',kobieta,11,1700,0,196,48,dobry
400,'\'(42.8-55.2]\'',kobieta,12,1040,1,14,5,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,2500,0,153,48,dobry
1000,'\'(42.8-55.2]\'',mezczyzna,11,3500,0,31,48,zly
300,'\'(55.2-67.6]\'',kobieta,13,1244.77,1,36,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,1060.96,0,5,48,zly
300,'\'(67.6-inf)\'',mezczyzna,13,960,1,138,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1457,0,76,48,dobry
200,'\'(30.4-42.8]\'',kobieta,99,1000,0,9,2,zly
200,'\'(30.4-42.8]\'',mezczyzna,12,700,0,5,18,dobry
200,'\'(67.6-inf)\'',kobieta,13,722.05,0,196,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1216,1,139,48,dobry
500,'\'(30.4-42.8]\'',kobieta,12,2000,0,3,2,zly
700,'\'(55.2-67.6]\'',kobieta,13,1872,1,31,48,dobry
800,'\'(42.8-55.2]\'',kobieta,13,3440,1,48,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1463.56,1,1,10,dobry
540.54,'\'(30.4-42.8]\'',kobieta,11,2478,0,156,48,zly
600,'\'(30.4-42.8]\'',kobieta,12,855,1,41,19,dobry
500.8,'\'(30.4-42.8]\'',kobieta,98,4000,1,15,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,4900,0,7,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1280,1,13,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,2200,1,82,48,dobry
600,'\'(30.4-42.8]\'',kobieta,12,1540,0,35,4,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1000,1,28,1,dobry
300,'\'(55.2-67.6]\'',mezczyzna,16,726,1,232,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1530,1,31,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1000,1,5,0,zly
449.61,'\'(42.8-55.2]\'',mezczyzna,11,1552.16,1,96,48,dobry
369.96,'\'(30.4-42.8]\'',kobieta,11,2709.34,1,180,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,12,2673.17,1,109,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1169,0,76,48,zly
400,'\'(55.2-67.6]\'',mezczyzna,13,1561.87,0,196,48,dobry
426.61,'\'(42.8-55.2]\'',kobieta,11,2470,1,355,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,963.57,0,214,48,zly
300,'\'(42.8-55.2]\'',kobieta,11,1344.9,0,42,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,930,1,239,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1125,1,123,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,980.11,1,41,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,12,1000,1,8,2,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1611,1,139,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,1200,1,117,48,dobry
800,'\'(55.2-67.6]\'',kobieta,12,1215.64,0,7,48,zly
600,'\'(55.2-67.6]\'',kobieta,13,1050,1,137,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1199.37,0,11,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1400,0,51,48,dobry
600,'\'(-inf-30.4]\'',mezczyzna,12,1300,1,24,18,dobry
335.97,'\'(42.8-55.2]\'',kobieta,11,1721.7,1,118,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,17,798.8,1,147,5,dobry
200,'\'(55.2-67.6]\'',mezczyzna,11,1500,0,397,48,dobry
200,'\'(-inf-30.4]\'',kobieta,12,980,1,6,0,dobry
200,'\'(67.6-inf)\'',kobieta,13,1000,0,210,48,dobry
430,'\'(55.2-67.6]\'',kobieta,13,919,1,139,48,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1032,1,35,6,dobry
700,'\'(30.4-42.8]\'',mezczyzna,12,2000,0,6,6,zly
200,'\'(55.2-67.6]\'',kobieta,13,856,0,54,48,dobry
1000,'\'(-inf-30.4]\'',mezczyzna,11,2700,1,61,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1770,1,86,48,dobry
300,'\'(42.8-55.2]\'',kobieta,16,1788,1,60,48,zly
200,'\'(30.4-42.8]\'',kobieta,12,599.03,0,15,3,dobry
231.22,'\'(42.8-55.2]\'',mezczyzna,12,1000,1,8,31,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1085,1,165,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,13,1900,1,148,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,12,1963.88,0,2,3,dobry
400,'\'(67.6-inf)\'',mezczyzna,13,1772.53,0,280,48,dobry
600,'\'(67.6-inf)\'',mezczyzna,16,1100,1,135,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,16,1473.04,0,164,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1026,1,52,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,917,0,73,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1160,0,75,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,98,3178,1,200,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,932.34,1,396,48,dobry
200,'\'(67.6-inf)\'',mezczyzna,13,1420,0,49,48,dobry
200,'\'(42.8-55.2]\'',kobieta,17,734.94,0,19,6,zly
600,'\'(42.8-55.2]\'',kobieta,11,1443,1,30,48,dobry
1000,'\'(67.6-inf)\'',kobieta,13,2100,1,52,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,936,1,28,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,757.1,0,197,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,1083.23,1,95,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,970,0,197,48,zly
300,'\'(-inf-30.4]\'',kobieta,12,1300,0,4,7,dobry
300,'\'(-inf-30.4]\'',kobieta,12,1500,0,0,2,dobry
400,'\'(42.8-55.2]\'',kobieta,16,1362,1,26,48,dobry
300,'\'(67.6-inf)\'',kobieta,16,1138.01,0,3,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,2113.24,0,58,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1400,1,160,48,dobry
700,'\'(55.2-67.6]\'',mezczyzna,13,3040,1,200,48,dobry
200,'\'(67.6-inf)\'',mezczyzna,13,1921,1,87,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,984.34,0,14,6,dobry
800,'\'(55.2-67.6]\'',kobieta,13,580,1,117,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1000,1,54,48,dobry
1000,'\'(55.2-67.6]\'',kobieta,13,1820,1,66,48,dobry
300,'\'(-inf-30.4]\'',kobieta,11,901,0,37,48,dobry
250,'\'(67.6-inf)\'',mezczyzna,13,2000,1,41,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1077,1,182,48,dobry
250,'\'(67.6-inf)\'',mezczyzna,13,1162.41,1,102,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1870,0,264,48,zly
800,'\'(30.4-42.8]\'',mezczyzna,11,2256,0,71,48,zly
300,'\'(42.8-55.2]\'',kobieta,11,992.84,1,119,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,728,1,98,34,dobry
476.61,'\'(55.2-67.6]\'',mezczyzna,11,2947,1,50,48,dobry
250,'\'(42.8-55.2]\'',kobieta,98,911,1,96,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1134.96,1,160,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1382,0,18,6,dobry
200,'\'(67.6-inf)\'',kobieta,13,866.46,1,194,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,825.69,0,3,48,zly
296.54,'\'(30.4-42.8]\'',mezczyzna,12,1030,1,1,22,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,2100,0,186,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1800,1,115,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,16,650.77,0,45,48,dobry
300,'\'(42.8-55.2]\'',kobieta,16,1072.89,1,120,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,2040,0,142,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1200,0,99,48,zly
300,'\'(55.2-67.6]\'',kobieta,16,634.64,0,134,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1042,0,1,1,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,3500,1,24,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,12,1200,0,1,1,zly
200,'\'(30.4-42.8]\'',kobieta,11,1037.34,1,58,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,714,1,222,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1287.66,0,94,48,dobry
500,'\'(42.8-55.2]\'',kobieta,98,2200,1,22,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,11,2300,0,103,48,zly
200,'\'(42.8-55.2]\'',mezczyzna,11,1566.82,0,350,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1071.61,0,405,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,800.51,0,16,48,dobry
500,'\'(42.8-55.2]\'',kobieta,12,1500,1,23,9,zly
300,'\'(-inf-30.4]\'',mezczyzna,12,1400,0,5,18,dobry
200,'\'(-inf-30.4]\'',kobieta,12,1134.4,0,7,8,zly
200,'\'(42.8-55.2]\'',kobieta,11,967.64,0,320,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1635,1,118,48,dobry
1100,'\'(30.4-42.8]\'',mezczyzna,11,2875.71,1,278,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1000,0,61,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1400,1,246,48,dobry
500,'\'(67.6-inf)\'',mezczyzna,13,2612,0,79,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,930,0,28,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,12,1100,1,19,17,dobry
694,'\'(30.4-42.8]\'',kobieta,11,1900,1,207,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,815,0,142,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1500,1,20,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1300,0,0,3,zly
300,'\'(30.4-42.8]\'',mezczyzna,11,2100,1,61,48,dobry
200,'\'(55.2-67.6]\'',kobieta,17,1100,0,24,10,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1493.98,0,362,48,dobry
421.62,'\'(30.4-42.8]\'',kobieta,11,1400,0,99,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1272,0,13,48,dobry
1239.88,'\'(42.8-55.2]\'',kobieta,11,1638,1,315,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,2500,0,233,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,840,1,111,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,12,950,0,4,11,dobry
500,'\'(30.4-42.8]\'',kobieta,11,2825,0,95,48,zly
700,'\'(55.2-67.6]\'',kobieta,13,2066,1,127,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1094,0,183,48,dobry
600,'\'(55.2-67.6]\'',kobieta,11,1400,1,161,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1185.33,1,224,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1658,1,26,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1900,1,86,48,dobry
200,'\'(67.6-inf)\'',mezczyzna,13,770,0,110,48,zly
200,'\'(42.8-55.2]\'',mezczyzna,12,1952.35,0,0,11,dobry
200,'\'(42.8-55.2]\'',mezczyzna,12,1030,1,5,19,dobry
300,'\'(42.8-55.2]\'',kobieta,11,2065.98,1,178,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,12,1884.29,0,17,7,dobry
600,'\'(42.8-55.2]\'',kobieta,11,3200,1,51,48,dobry
1000,'\'(55.2-67.6]\'',mezczyzna,11,2031,0,112,48,dobry
400,'\'(-inf-30.4]\'',mezczyzna,11,3000,0,38,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,670,1,6,6,dobry
350,'\'(67.6-inf)\'',kobieta,13,1721,1,196,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,1029.7,0,6,48,zly
285.97,'\'(30.4-42.8]\'',kobieta,98,1200,1,43,48,dobry
280.11,'\'(30.4-42.8]\'',kobieta,11,1770,1,85,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,99,2500,0,2,1,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,1250,1,62,48,dobry
200,'\'(42.8-55.2]\'',kobieta,16,749.28,1,62,48,dobry
400,'\'(67.6-inf)\'',kobieta,16,980,1,129,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1100,0,63,48,zly
1000,'\'(-inf-30.4]\'',mezczyzna,11,10000,0,6,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,1977,0,52,48,dobry
277.4,'\'(55.2-67.6]\'',kobieta,13,975,1,24,48,dobry
600,'\'(55.2-67.6]\'',mezczyzna,11,3335,1,435,48,dobry
300,'\'(42.8-55.2]\'',kobieta,98,980,0,6,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1742.76,0,38,48,zly
789.27,'\'(55.2-67.6]\'',kobieta,13,860,1,77,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,16,1700,0,245,48,zly
300,'\'(67.6-inf)\'',kobieta,16,1401,0,73,48,dobry
200,'\'(42.8-55.2]\'',kobieta,99,1100,0,48,1,dobry
377.92,'\'(-inf-30.4]\'',kobieta,11,1500,1,21,48,dobry
500,'\'(30.4-42.8]\'',kobieta,11,3100,1,119,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,2700,1,119,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,750,0,62,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,784,0,36,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,2110,1,99,48,dobry
250,'\'(55.2-67.6]\'',mezczyzna,99,685,1,2,1,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1300,0,75,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,1,247,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,907,0,5,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1032.34,1,1,10,dobry
1569.98,'\'(42.8-55.2]\'',mezczyzna,11,2353,1,97,48,dobry
200,'\'(30.4-42.8]\'',kobieta,16,540,0,182,48,zly
